名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
漠河极地体验馆 (中国科技馆分馆),http://travel.qunar.com/p-oi38952594-mohejiditiyanguan_,,漠河极地体验馆，整馆建筑面积，约为3100平方米，主展厅以“感受极地特色，培养极地兴趣”为主题，并将科技内容和极地特色相结合，设置了 极地自然、极地探索、冰雪之恋三个展区、共33件展品。极地馆的吉祥物--北极熊憨憨、这个展项运用了初级的AI智能处理，可以跟大家进行简单的对话，展项模拟极光：漠河是全国境内可以看到北极光的城市，尤其在北极村更是观测位置。通过这个展项，大家可以更清楚的了解他的生成原因，漠河观测极光的时间窗口为夏至前后—万里无云观测条件好和冬至前...漠河极地体验馆，整馆建筑面积，约为3100平方米，主展厅以“感受极地特色，培养极地兴趣”为主题，并将科技内容和极地特色相结合，设置了 极地自然、极地探索、冰雪之恋三个展区、共33件展品。极地馆的吉祥物--北极熊憨憨、这个展项运用了初级的AI智能处理，可以跟大家进行简单的对话，展项模拟极光：漠河是全国境内可以看到北极光的城市，尤其在北极村更是观测位置。通过这个展项，大家可以更清楚的了解他的生成原因，漠河观测极光的时间窗口为夏至前后—万里无云观测条件好和冬至前后夜晚较长，但是据漠河气象部门近50年的监测，每年可以看到极光的次数平均在5次左右。展项极昼与极夜的形成：形成的三大要素是地球绕太阳的公转轨道、地球自转及地球倾斜角，一年中有6个月时间两极之中总有一极朝着太阳，全是白天；另一个极背向太阳，全是黑夜。南、北极这种神奇的自然现象是其他大洲所没有的。大家可以通过触摸屏在仔细了解它的科学原理。展项绚丽极光影院：感受极光的魅力，影片是采用奇幻穿越的手法演示极光，让大家能身临其境的观看极光出现时瑰丽壮观的景象，了解极光从出现到消失的全过程代表性展品：小球大世界，球体采用碳纤维材料，直径是174厘米，运用美国大气海洋管理局NOAA精心打造的素材资料，向我们投射展示的是整个星球大世界的缩影。它包含了天文、地理、大气、海洋、人文、全球卫星云图等各种影像。展项：自星星的你，陨石也被称之为陨星，是从行星际空间穿过地球大气层而陨落到地球表面上的天然固态物体。我们极地馆收藏了两件铁陨石，大家可以将手放在陨石上，或许它跟澳大利亚艾尔湖发现的陨石一样比地球还要古老。展项圆顶冰屋模型：是北极地区原住民因纽特人的独特建筑，雪屋是他们外出打猎、或者放牧驯鹿时临时搭建的住所，大家稍后可以打雪屋打乱重新建造试试。展品听位爷爷讲极地探险故事：位梦华爷爷是第一个进入南极中心地区，也就是南纬80度以南的中国人；他曾9次考察北极，在北极居住的时间累计起来有三年多，作为中国远征北极点科学考察的总领队，1995年5月6日把五星红旗插上了北极点，他是发表和出版有关南极、北极的科普文章和科学专著较多的中国人，中学语文课本里的一篇《旅鼠之谜》就是他写的；他也是在国内和美国，以南极、北极为题材演说较多的中国人。这个展品叫做-观察水结冰，在自然界中，水在-0℃以下时、由液态变为固态，称为结冰。水结冰是一种结晶现象，是由水分子附着在细小的晶核上，不断疑结长大形成的晶体。在不同的温度下，形成的冰晶各不相同。速冻时，迅速生成许多晶核，容易形成许多细小的冰晶。而缓慢冰冻时，生成的晶核较少。大家可以利用放大镜观察一下水结冰的过程。展项叫做不同的隔热材料：材料的保温隔热性能与它的导热性密切相关。导热性能代表物体传递热量的能力，导热性能越好，传递热量的能力越强，保温隔热效果就越差人们通常把导热性能好的材料作为导热材料，把导热性能差的材料作为保温材料，利用保温材料制作出各种衣物、手套等物品来抵御寒冷。展项南极生物链：大家都知道南极大陆是较冷的大陆，迄今为止，世界上记录到的较低温度-93.2℃就是在那里观测到的。虽然极冷，但是南极海域的生物繁茂，截止2009年，被记录到的南极动物就达150种之多，比如说帝企鹅、海豹、南极磷虾等等，大家通过四方的触摸面板，可以了解南极的生态系统。展项生活在北极的动物：这个展项向我们介绍了8种具有代表性的北极动物，比如在海洋公园常见的北极熊、白鲸，还有北极狼、北极地松鼠等等，可以用过插卡答题的方式，了解他们在寒冷冬天是怎样过冬的。这个展项是以中国南极科考站实际地点为原型摆放的，自1985年我国设立第一个常年越冬站—长城站以来，到目前为止我国共建有5座科考站，其中罗斯海站于2018年奠基预计于2022年完工。展项冰雪世界有绿洲：这个展项收录了16种南北极植被的实地照片，大家稍后可以了解一下。里面有一种植物叫做越橘，漠河本地人称它为红豆，这样说可能大家还不是很明白，他的亲戚叫做蔓越莓，大家一定听过，越橘就是生长在中国的蔓越莓，他们两者的营养成分都相差不多。,,,5.0,,,,,3
二十六站,http://travel.qunar.com/p-oi38940187-ershiliuzhan,,,,,5.0,,,,,3
北极岛,http://travel.qunar.com/p-oi38940022-beijidao,,中国最北岛屿——北极岛。北极岛面积2170公顷，纬度上与中国陆地最北点距离相差455米。北极岛山环水抱，藏风聚气。岛上森林茂密，主要的树种有樟子松、落叶松、黑桦、白桦、杨树等。很神奇的是这棵高耸的樟子松，它鹤立鸡群一般地居于北极岛的最北点上，犹如神树一般。北极岛是自然、历史、人文共存的岛屿，这里有清末采金遗址、黄金古驿道、民国泰和站旧址等历史文化遗迹，有渔人地窨子、獐子洞、野猪窝、玛瑙滩等人文遗址。据说北极岛上还将建一个集气象、观光于一身的上百米高度的观光塔，届时它将成为“大北极旅游区”的耀眼的北极明珠塔。,,,5.0,,,,,3
伊勒呼里山,http://travel.qunar.com/p-oi38034513-yilehulishan,,,,,5.0,,,,,4
鹿鼎山Humaxian Luding Mountain,http://travel.qunar.com/p-oi35214819-ludingshan,,山上有大量的天然樟子松母树林，登上山顶可以将呼玛秀美风光尽收眼底。奇花异草，山明水秀。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,4
圣诞村Christmas Village,http://travel.qunar.com/p-oi35198558-shengdancun,,该圣诞村是中国极地资源与西方圣诞文化的融合，圣诞老人屋、圣诞老人广场、儿童童话世界、白雪公主乐园、七个小矮人藏宝屋等景点，足不出国就能享受浪漫圣诞。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/44f605cbf178e3a5d9fcf8275eb8770a.jpg_480x360x95_81eb1e7c.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,4
漠河北极博物馆Mohebeiji Museum,http://travel.qunar.com/p-oi34272063-mohebeijibowuguan,"

地址:
漠河县北极镇通江街

",,全年 8:30-17:00,,5.0,,,收费,,4
加格达奇站站前广场Jiagedaqizhan Zhanqian Square,http://travel.qunar.com/p-oi32749165-jiagedaqizhanzhanqian,"

地址:
大兴安岭地区加格达奇区世纪大道与兴安大街交叉口东南50米

",,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8778084a3871e91153e15534fd457d13.jpg_480x360x95_c80f306c.jpg,5.0,建议游览时间：1小时 - 2小时,,,,5
阿木尔镇Amuer Town,http://travel.qunar.com/p-oi32744308-amuerzhen,"

地址:
黑龙江省大兴安岭地区漠河市

",,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/786a54c91f0cc283f601332747cf4bb4.jpg_480x360x95_200393ff.jpg,5.0,,,具体收费情况以现场公示为主,,5
南瓮河Nanweng River,http://travel.qunar.com/p-oi23342884-nanwenghe,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f0a10d5b60c84c7773ff906011d0b183.jpg_480x360x95_60f687c8.jpg,5.0,,,具体收费情况以现场公示为主,,6
二十八站Station Twenty-eight,http://travel.qunar.com/p-oi23341842-ershibazhan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f4b682ff29d8e6022dae50e134fab0eb.jpg_480x360x95_bae75d95.jpg,5.0,,,具体收费情况以现场公示为主,,6
五泉山自然保护区Wuquan Mountain Nature Reserve,http://travel.qunar.com/p-oi18716381-wuquanshanziranbaohuqu,,,,,5.0,,,具体收费情况以现场公示为主,,7
牛耳河Niu'er River,http://travel.qunar.com/p-oi18715261-niuerhe,,,,https://img1.qunarzz.com/travel/poi/1803/a8/0a9e9a29f69fc537.jpg_480x360x95_51f51db4.jpg,5.0,,,具体收费情况以现场公示为主,,7
民族风情园Ethnic Culture Park,http://travel.qunar.com/p-oi18715097-minzufengqingyuan,,,,https://img1.qunarzz.com/travel/poi/1803/8d/ae68f9bd2cf3a937.jpg_480x360x95_35a33255.jpg,5.0,,,具体收费情况以现场公示为主,,7
古源镇Guyuan Town,http://travel.qunar.com/p-oi18713875-guyuanzhen,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/831fae9f715bc272fde0d42c6fcb1181.jpg_480x360x95_92e6f459.jpg,5.0,,,具体收费情况以现场公示为主,,8
根河断桥Genhe Broken Bridge,http://travel.qunar.com/p-oi18713828-genheduanqiao,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/c50fff53ceb49b0467b7ad7f1708a060.jpg_480x360x95_53d5d69e.jpg,5.0,,,具体收费情况以现场公示为主,,8
苍山石林景区Cangshan Shilin Scenic Area,http://travel.qunar.com/p-oi10009314-cangshanshilinjingqu,,苍山石林景区位于黑龙江省大兴安岭地区的呼中区内，紧邻呼中自然保护区，是当地知名的原始森林风景区。这里有着茂密的树林和巍峨的高山，苍山较值得观赏和游览的是石林。亿万年前的火山爆发，让这片地方几乎都被岩浆侵蚀，火山灰厚重的遮了天，同时，地壳移动挤压将这里的土地分裂成了几个大块，熔岩积累成各种巨石，又经过几千万年的日晒雨淋，水流和风的洗礼，这里的岩石形成了特别的形态，这是大自然的力量所造，苍山的石头被赋予了奇异的神韵，有的如仙蟾，有的像林芝，每一块都有着自己的风格，令人感到惊奇和赞叹。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e51305238a68e34f9a251a4bb15d73f7.jpg_480x360x95_d58dc1fe.jpg,5.0,,,,,9
"白银纳鄂伦春民族风情园Oroqen Ethnic Culture Park, Baiyinna Village",http://travel.qunar.com/p-oi10005890-baiyinnaelunchunminzu,,    白银纳鄂伦春民族乡位于呼玛县北部，地处呼玛河中游北岸的冲击平原上。这里是呼玛县唯一的少数民族乡，生活着汉、鄂伦春、满、蒙古、回、朝鲜、达斡尔等7个民族的人民，是鄂伦春民族聚居地之一。    鄂伦春民族性格粗犷、能歌善舞、待人热情好客。对于远方来的客人，他们都穿上本民族节日盛装，燃起篝火，载歌载舞。游人来到鄂乡，同鄂族兄弟共进篝火晚餐，吃着“手把肉”，住着“仙人柱”，观赏民族歌舞，可尽情领略北方少数民族的淳朴风情。,,,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,9
